epochs, EmbeddingSimilarity,nll-test,
1,-0.015455281394588027,1.760549,
6,-0.0151621575330875,1.2763885,
11,-0.013350749163584216,1.1058445,
16,-0.012603439207552502,1.026087,
21,-0.012779944379663953,0.98265076,
26,-0.012005843263608646,0.93235904,
31,-0.012352203068381884,0.91856796,
36,-0.012190726130639942,0.89227265,
41,-0.011729969016552665,0.90624356,
46,-0.012219340594373263,0.8711108,
51,-0.011993402998467515,0.87150204,
56,-0.01195877719901906,0.87877244,
61,-0.012140082025554744,0.85129714,
66,-0.011978580752895925,0.8455208,
71,-0.012377946543888125,0.83954144,
76,-0.012200638564094526,0.83919966,
80,-0.011983122005833121,0.84482044,
81,-0.010437215748935566,1.2331247,
86,-0.010518544340835122,1.4847717,
91,-0.010082314774235384,1.5660332,
96,-0.010027621855938914,1.6583459,
101,-0.010196422766279382,1.7470591,
106,-0.010668193840689856,1.8441607,
111,-0.010858422803109197,1.8461202,
116,-0.011073403194755894,1.8099735,
121,-0.012157299743636014,1.7656759,
126,-0.013118124420202456,1.7018206,
131,-0.013423598734747466,1.6792026,
136,-0.014082896510200484,1.6708851,
141,-0.014973733161846364,1.6555191,
146,-0.013824237235830924,1.661232,
151,-0.013658801214318806,1.6938218,
156,-0.013293523848260555,1.751198,
161,-0.012728973235251335,1.7218243,
166,-0.014099325078795773,1.6643821,
171,-0.015664833852798772,1.657889,
176,-0.015160593390735286,1.651467,
180,-0.015278929229146237,1.6583958,
