epochs, EmbeddingSimilarity,nll-test,
1,-0.007397551532846484,1.3800945,
6,-0.0068018137071827346,0.9630812,
11,-0.007874206836516408,0.8742007,
16,-0.006976797736160874,0.8061893,
21,-0.006917099852429055,0.7549446,
26,-0.006798564966439568,0.71843034,
31,-0.006517949351705992,0.6944207,
36,-0.007330441994695363,0.6769203,
41,-0.006208655101846487,0.6598822,
46,-0.00540141980716597,0.6379216,
51,-0.00497299362028513,0.62985426,
56,-0.005367975942748176,0.61930686,
61,-0.005536884959279322,0.6122768,
66,-0.005429858814620811,0.61687297,
71,-0.005577374696074306,0.6017551,
76,-0.005363157395276044,0.59607697,
80,-0.005286572110535359,0.5941206,
81,-0.0044096362547258365,0.64663893,
86,-0.004260705900620952,0.7598541,
91,-0.004540122721914139,0.8213163,
96,-0.00486262202082631,0.8633072,
101,-0.005340075647888477,0.9000631,
106,-0.005783295300749515,0.9138764,
111,-0.0059117265421544584,0.9453948,
116,-0.006002189903850838,0.98371094,
121,-0.0060231815281618015,1.0032243,
126,-0.00607304932462462,0.9846444,
131,-0.005880974662677128,0.99367315,
136,-0.00568784277560923,1.0246611,
141,-0.005675112688722498,1.0468494,
146,-0.005684019600566537,1.0738314,
151,-0.0054570507006734435,1.1013281,
156,-0.005349163224812708,1.1076093,
161,-0.005106803807472417,1.1025746,
166,-0.005225716973279879,1.0956768,
171,-0.005386138809559268,1.0642216,
176,-0.005461465060740201,1.0286876,
180,-0.005842152923101811,1.0149268,
