epochs, EmbeddingSimilarity,nll-test,
1,-0.0033722752541724714,1.2682408,
6,-0.004238016016090633,0.91188025,
11,-0.004121780561264687,0.8200904,
16,-0.0035198141600178,0.7641307,
21,-0.003653664096902289,0.7090118,
26,-0.003949349873769854,0.67063576,
31,-0.003934681031434238,0.64647335,
36,-0.0033963157153829456,0.6413365,
41,-0.004375327694002287,0.61514163,
46,-0.004236632453102642,0.607666,
51,-0.003937585508095884,0.59516966,
56,-0.003944399229745078,0.5985727,
61,-0.004104615816624459,0.5825073,
66,-0.003970655560517594,0.57652235,
71,-0.003730838942308051,0.57667404,
76,-0.0037643219356455,0.57078993,
80,-0.0036627005752556726,0.57150507,
81,-0.0030736396661509386,0.6077635,
86,-0.00303915437604367,0.66804254,
91,-0.0030193938386804185,0.70482326,
96,-0.0034133785251042686,0.73096,
101,-0.003524132059799385,0.7507538,
106,-0.003746070353807522,0.77187735,
111,-0.003929397343450013,0.79146254,
116,-0.00396416036799281,0.8057557,
121,-0.004172606293053883,0.81425136,
126,-0.0042645642239281,0.82290834,
131,-0.0045791233673195715,0.82610166,
136,-0.004728520858446501,0.8330191,
141,-0.004666620644530029,0.8448975,
146,-0.004634046714024974,0.85045063,
151,-0.004660950372114214,0.8592954,
156,-0.004743930662634487,0.86857504,
161,-0.0045787065784656114,0.8724693,
166,-0.004781279346951868,0.87873024,
171,-0.004517636721777201,0.88189495,
176,-0.00464517125365496,0.88271713,
180,-0.004151866423889823,0.8835271,
