epochs, EmbeddingSimilarity,nll-test,
1,-0.004494324534760611,1.1735843,
6,-0.004104402926071766,0.91211396,
11,-0.0040468025266768275,0.8070991,
16,-0.0036260841819903775,0.73157924,
21,-0.00438309699670388,0.68396115,
26,-0.003729448569970914,0.64324033,
31,-0.004386311594690071,0.62255776,
36,-0.0037413423564129434,0.6016668,
41,-0.003905124271134536,0.58945024,
46,-0.0035775685376888025,0.5836312,
51,-0.00395416723283768,0.5734809,
56,-0.00366376207238862,0.57025737,
61,-0.003993401711734418,0.56168145,
66,-0.003888531693970641,0.55660987,
71,-0.003978622130473321,0.5522047,
76,-0.003932628632447667,0.54900724,
80,-0.004147418319240657,0.5453041,
81,-0.004273726759561884,0.5469595,
86,-0.005042132667194683,0.560028,
91,-0.005039509158760204,0.57423323,
96,-0.00515078893974133,0.58896554,
101,-0.005080435184189791,0.5984007,
106,-0.004815554040730288,0.6069771,
111,-0.004795685211808859,0.6174648,
116,-0.004528369545398273,0.62991047,
121,-0.004495881313723282,0.64223546,
126,-0.004641214628699456,0.6508984,
131,-0.005043842196597241,0.6564749,
136,-0.005183840685087182,0.6628239,
141,-0.0050887801990628515,0.6702998,
146,-0.0057091247257406025,0.6776932,
151,-0.005809314569927565,0.68302405,
156,-0.005796665809947644,0.6867343,
161,-0.005664574920337697,0.68867016,
166,-0.005676932287772209,0.6916283,
171,-0.005665661197649645,0.6961827,
176,-0.005663532039897065,0.7037129,
180,-0.00555497413921655,0.70970577,
