epochs, EmbeddingSimilarity,nll-test,
1,-0.006540574103743138,1.1166713,
6,-0.004838974188640038,0.88731277,
11,-0.005051323255524739,0.7920166,
16,-0.005115504145186659,0.72843015,
21,-0.004870814622249506,0.68080944,
26,-0.00438798528560551,0.6444778,
31,-0.004068475451705892,0.62197083,
36,-0.004310238640462355,0.60951436,
41,-0.004282096276220189,0.6012968,
46,-0.00448206743788258,0.5884817,
51,-0.004468659383516441,0.5789529,
56,-0.004689321421790924,0.5732946,
61,-0.004703127155307019,0.56722707,
66,-0.004842016080623737,0.56180376,
71,-0.004951077047797196,0.55693305,
76,-0.00484676050721253,0.55369216,
80,-0.00445139107484725,0.5494836,
81,-0.004603484548351019,0.55132,
86,-0.005015772525743145,0.566091,
91,-0.005402691868725859,0.58267134,
96,-0.005484135105553319,0.5979233,
101,-0.005248389740012963,0.61071277,
106,-0.005170961536326071,0.620741,
111,-0.005343489123623046,0.63039064,
116,-0.005158819443922696,0.6399163,
121,-0.005931922408953426,0.64840674,
126,-0.0058347645259669515,0.6569306,
131,-0.006587698045843467,0.66651756,
136,-0.0064411864798315415,0.67489517,
141,-0.006611400174541511,0.6782839,
146,-0.0065219762800842965,0.68210685,
151,-0.0068324961093582035,0.68652886,
156,-0.0068659297240956435,0.69038534,
161,-0.006981732849131548,0.69704115,
166,-0.006752267668414583,0.7046066,
171,-0.0066995272682632175,0.7131432,
176,-0.00650104210514628,0.7183124,
180,-0.0067525167269953945,0.72233474,
