epochs, EmbeddingSimilarity,nll-test,
1,-0.003930801751546571,1.1783209,
6,-0.0038171948699082902,0.9479399,
11,-0.004019625698530274,0.8478409,
16,-0.0033657483256523306,0.7766619,
21,-0.0035968804092586667,0.7186378,
26,-0.00353000215012455,0.68493676,
31,-0.00408021841109386,0.65437853,
36,-0.0037586826253831634,0.6344334,
41,-0.004108100856595186,0.6194185,
46,-0.004043885897212375,0.61337024,
51,-0.0039656953202137635,0.60808605,
56,-0.00423911116484998,0.60262835,
61,-0.0037143746274750995,0.59521925,
66,-0.0037456742716212603,0.5922069,
71,-0.0035746705630202505,0.5950621,
76,-0.003739672467902025,0.5870909,
80,-0.003782002741656862,0.5829258,
81,-0.003465929062674671,0.58448416,
86,-0.0037904698299474236,0.6010855,
91,-0.004489125941918849,0.61849165,
96,-0.004724105418537308,0.63378936,
101,-0.004996461538437718,0.6448015,
106,-0.004914621778175136,0.65430355,
111,-0.004844796702514721,0.6614486,
116,-0.0049146058876512935,0.6664615,
121,-0.005014033073272998,0.6698041,
126,-0.00485255502587055,0.6746204,
131,-0.005104197527184265,0.68188244,
136,-0.004928080417231754,0.68935394,
141,-0.005097675465122722,0.69526595,
146,-0.005225603364100517,0.70038116,
151,-0.005484514816686002,0.7066683,
156,-0.005740059780577819,0.7137108,
161,-0.005592510535539077,0.72174937,
166,-0.005290189895230312,0.72940725,
171,-0.005513623703620509,0.7370496,
176,-0.005361459712239834,0.74542695,
180,-0.005304594575747582,0.752281,
