epochs, EmbeddingSimilarity,nll-test,
1,-0.0019694407354656305,1.3249269,
6,-0.00205437232075015,1.0057003,
11,-0.0017714251132335012,0.882376,
16,-0.001783330286415066,0.78202724,
21,-0.002241359766309546,0.71132755,
26,-0.0020538383065594316,0.64822346,
31,-0.0020127525045246456,0.61061704,
36,-0.0019759384207223693,0.58525187,
41,-0.0019086760434431653,0.5663784,
46,-0.0018743651633783634,0.5545335,
51,-0.0019394610048989397,0.54832107,
56,-0.0018603716126979334,0.5383759,
61,-0.0018737194681113655,0.52976197,
66,-0.0018985234652540435,0.527123,
71,-0.0019905495220162253,0.52071106,
76,-0.0021248832875055564,0.5125738,
80,-0.0021524168230619718,0.5107132,
81,-0.0020580523456665487,0.51196086,
86,-0.0021124812606177516,0.526441,
91,-0.002528522713717905,0.543667,
96,-0.002729792871949967,0.561171,
101,-0.0027284262778208912,0.5754467,
106,-0.0027792735947796813,0.58937216,
111,-0.0026643392996502906,0.60072386,
116,-0.0025901461421834605,0.60959345,
121,-0.0026454689860632525,0.6179059,
126,-0.0027648767972894765,0.6288171,
131,-0.0028936555417269066,0.6426456,
136,-0.0029235523155328826,0.6547949,
141,-0.0028515087050076985,0.6634994,
146,-0.002846180762309824,0.66700244,
151,-0.0029118992302141606,0.6695288,
156,-0.0030079406065427923,0.6743407,
161,-0.0031061866763020473,0.6808566,
166,-0.0030460666053370358,0.6875361,
171,-0.002930233317061048,0.69311404,
176,-0.003121616077936557,0.6960883,
180,-0.0030329933560526083,0.6973108,
