epochs, EmbeddingSimilarity,nll-test,
1,-0.005066112184464566,1.1881237,
6,-0.005201524549017623,0.9316185,
11,-0.004037729080300161,0.83079207,
16,-0.004470910454801772,0.7625817,
21,-0.003845466709157,0.7087771,
26,-0.0039133042630587955,0.66884285,
31,-0.0039336644959384985,0.64007014,
36,-0.004248260591446765,0.6226323,
41,-0.004294970670644222,0.60565525,
46,-0.004123717074360306,0.5946869,
51,-0.004525336608293965,0.5881011,
56,-0.0044674010919001595,0.58218074,
61,-0.00421440477488537,0.5772481,
66,-0.004686655145299093,0.57226497,
71,-0.004190996220694051,0.5653235,
76,-0.004153881451740029,0.56208223,
80,-0.004103311265627556,0.56044805,
81,-0.004183833426472555,0.5619702,
86,-0.0042477348958000006,0.57929754,
91,-0.004518132336149307,0.5955439,
96,-0.00495719600155068,0.6116006,
101,-0.004946444681806844,0.62953055,
106,-0.005515960640238824,0.646546,
111,-0.0057635069205532255,0.66074693,
116,-0.006009208268852827,0.67082953,
121,-0.005894602457555983,0.6791267,
126,-0.005820607663098949,0.6878484,
131,-0.0055460849288103565,0.6964452,
136,-0.005413473692658572,0.7007828,
141,-0.005566907819877089,0.7030868,
146,-0.005603738013403257,0.70388967,
151,-0.0056306531176658885,0.7082444,
156,-0.0056634287314332,0.7139802,
161,-0.005752553113345932,0.7166641,
166,-0.0057352197078664215,0.7198862,
171,-0.006110090643571235,0.72290236,
176,-0.006079966940507602,0.72501427,
180,-0.00597456986015497,0.72716284,
