epochs, EmbeddingSimilarity,nll-test,
1,-0.0042847949869477325,1.4450588,
6,-0.004204556674208277,0.9354264,
11,-0.004359755579143495,0.8372166,
16,-0.0036410415089987744,0.7656596,
21,-0.004072326312078452,0.7110614,
26,-0.004164482754893522,0.66778797,
31,-0.0036006335635442146,0.64239395,
36,-0.0037389251787767787,0.6197504,
41,-0.004215014214370701,0.6030868,
46,-0.00391022665103809,0.5916649,
51,-0.0038914119428886977,0.58120894,
56,-0.003924796398877064,0.57500994,
61,-0.0039775299949544474,0.5692802,
66,-0.0034813782827170024,0.5661248,
71,-0.0037406090831673877,0.5600799,
76,-0.003907632183510082,0.55467004,
80,-0.0038271076700966936,0.5532012,
81,-0.003934599212661287,0.5537175,
86,-0.003851763078988102,0.56805503,
91,-0.004351725627588456,0.5843796,
96,-0.004351247967498872,0.5982537,
101,-0.004360954215502953,0.61026067,
106,-0.0043624156075587174,0.62260187,
111,-0.0045024580850420454,0.6324842,
116,-0.0045874023553303675,0.641167,
121,-0.004820980365822351,0.648267,
126,-0.004962997510467978,0.65245724,
131,-0.004994051081355973,0.6575584,
136,-0.005244339238322192,0.66334754,
141,-0.005358003018447659,0.67077017,
146,-0.005529302313196952,0.67976177,
151,-0.005568854767525711,0.6869384,
156,-0.005168918274611706,0.69263864,
161,-0.0050311782449189235,0.6980653,
166,-0.004783188378619124,0.70441914,
171,-0.004980017830522786,0.7101179,
176,-0.00497190504524144,0.71684587,
180,-0.0047936420621855795,0.7209611,
