epochs, EmbeddingSimilarity,nll-test,
1,-0.0031158305437252835,1.3655167,
6,-0.0035264665742131412,0.92480236,
11,-0.0037212208491637323,0.8298427,
16,-0.0029804467694910597,0.7614706,
21,-0.0030011858748400268,0.70977175,
26,-0.003550536209027281,0.6752221,
31,-0.002986162167300937,0.6454352,
36,-0.0029997543211635995,0.6282324,
41,-0.003221428385451366,0.60940266,
46,-0.003380913796088611,0.6006389,
51,-0.0033123998793112203,0.59228754,
56,-0.003769137249280383,0.5865845,
61,-0.0033014442437037743,0.579195,
66,-0.003436172365112829,0.5760843,
71,-0.003228782334139555,0.57068366,
76,-0.003239697017198581,0.56737703,
80,-0.0032788831218130265,0.56457067,
81,-0.003109529444877731,0.5661302,
86,-0.0030433129262193042,0.58315414,
91,-0.0032711455285622994,0.60293466,
96,-0.003670918825555399,0.6181648,
101,-0.0040650782824135255,0.63156784,
106,-0.004514577028041223,0.64371246,
111,-0.004892076825858348,0.64992607,
116,-0.004888920985996852,0.6541227,
121,-0.004627039318930881,0.659896,
126,-0.004445799709433806,0.6688926,
131,-0.004169104643641736,0.6788226,
136,-0.004105256485113127,0.6911555,
141,-0.004198608800132215,0.6997455,
146,-0.004278110739081787,0.7078226,
151,-0.00484591117465413,0.71341574,
156,-0.005106232249563409,0.72005904,
161,-0.004850573791022522,0.7261696,
166,-0.005116833317381073,0.7335072,
171,-0.004904520833574577,0.73951864,
176,-0.004765555667491607,0.74317455,
180,-0.00450362982926227,0.7481735,
