epochs, EmbeddingSimilarity,nll-test,
1,-0.017062566695208767,1.5331516,
6,-0.014223015338955607,1.0933232,
11,-0.013011828761300975,0.9805237,
16,-0.012561294759553915,0.9160335,
21,-0.011123592219724995,0.8808525,
26,-0.011317851824465685,0.8727538,
31,-0.01242634357021098,0.84211475,
36,-0.012536418335253511,0.823244,
41,-0.012149870719975565,0.798895,
46,-0.012127983570456774,0.82888854,
51,-0.01189782140112411,0.77207744,
56,-0.011914199667577514,0.7752976,
61,-0.011743622041851408,0.7715747,
66,-0.012176366818414055,0.7880313,
71,-0.011849480897186473,0.75535446,
76,-0.012152047939195583,0.7455635,
80,-0.012417616623635,0.75233096,
81,-0.010812635550863264,0.99113524,
86,-0.010240519396846644,1.2825075,
91,-0.00998229626400388,1.403699,
96,-0.010421056954942463,1.4834722,
101,-0.010523198848162477,1.5611508,
106,-0.011267215163277843,1.5838497,
111,-0.012040876196285506,1.6422577,
116,-0.01300561348657048,1.6955652,
121,-0.012892480701889723,1.7239511,
126,-0.012767590566343528,1.7424167,
131,-0.013027572332022643,1.7374371,
136,-0.01333372948228489,1.746476,
141,-0.013402081003287573,1.7350456,
146,-0.013212857795630967,1.6963274,
151,-0.013521482551449419,1.6618617,
156,-0.013864682238575055,1.6023194,
161,-0.014008016329575738,1.6511109,
166,-0.014106516403216428,1.7105243,
171,-0.014348043272750594,1.6936637,
176,-0.01465590105140657,1.6576971,
180,-0.0146401590470473,1.6396476,
