epochs, EmbeddingSimilarity,nll-test,
1,-0.006064117437633693,2.0473914,
6,-0.004836282868982535,1.5311913,
11,-0.005237154929458348,1.3750867,
16,-0.004212776878882067,1.2270314,
21,-0.004144750097527798,1.1501166,
26,-0.004733933812360433,1.0936782,
31,-0.004455256031241067,1.0171359,
36,-0.00431301360358399,0.9961244,
41,-0.004832270215497614,0.97600996,
46,-0.004738387430064288,0.92354053,
51,-0.004828012049345527,0.9621399,
56,-0.004645163495979916,0.90143543,
61,-0.0046738985301135625,0.8929338,
66,-0.004308968379081606,0.906658,
71,-0.004222751827156001,0.90207046,
76,-0.00443794697194769,0.8872675,
80,-0.004552687897188795,0.8814042,
81,-0.0037818638231490865,0.9856168,
86,-0.0037198861310910078,1.4526064,
91,-0.003919527776441348,1.544874,
96,-0.003926172116074728,1.6166745,
101,-0.004138869834728393,1.6737225,
106,-0.004252904851986265,1.7110318,
111,-0.004384960408500971,1.7436455,
116,-0.004690034493932377,1.787366,
121,-0.004999295844662771,1.8246456,
126,-0.005068451292774334,1.836373,
131,-0.004948657262951354,1.8429047,
136,-0.004994527205299544,1.8363138,
141,-0.005062113813133619,1.8356107,
146,-0.00534366172669248,1.8194537,
151,-0.005323629886040631,1.8028238,
156,-0.005515471362154928,1.8180139,
161,-0.005522454046446909,1.8561374,
166,-0.005640987606185679,1.8844366,
171,-0.005734305424178867,1.90401,
176,-0.00571892626652916,1.913987,
180,-0.005712500873118131,1.926871,
