epochs, EmbeddingSimilarity,nll-test,
1,-0.016393810373400878,1.6187688,
6,-0.012723304389790255,1.1950039,
11,-0.011347211041087156,1.067421,
16,-0.010779484301552107,0.98937404,
21,-0.01120118073728692,0.92576754,
26,-0.010971675223499419,0.8962643,
31,-0.010744373395791183,0.88047945,
36,-0.011072708781610804,0.8628209,
41,-0.010814868850912974,0.8512259,
46,-0.01026304866703662,0.8325841,
51,-0.01017443392696822,0.8379859,
56,-0.010815233068082521,0.8100105,
61,-0.010658560942132706,0.8193333,
66,-0.010725010909772622,0.8020196,
71,-0.010820661946822793,0.79460573,
76,-0.01054053479847159,0.7824358,
80,-0.010990415438531938,0.7815978,
81,-0.009493282524097106,1.0450037,
86,-0.009007289051185103,1.3041648,
91,-0.009109775187157011,1.390632,
96,-0.009318476966948578,1.4539639,
101,-0.00987678441098817,1.5111917,
106,-0.010094648642296917,1.5215894,
111,-0.010814851342409344,1.5074301,
116,-0.010958246979052646,1.50488,
121,-0.011292659667605934,1.497166,
126,-0.011509080475359654,1.50564,
131,-0.010890882025498195,1.5385772,
136,-0.01072863884928532,1.6057279,
141,-0.010765157528179841,1.6473776,
146,-0.0104113519568203,1.6133634,
151,-0.011130367616078139,1.5468552,
156,-0.011342292227320184,1.507966,
161,-0.012128142696261128,1.5110041,
166,-0.012588861836601559,1.5013485,
171,-0.012768516226168205,1.5020365,
176,-0.012775309769063074,1.4962572,
180,-0.012733107143539252,1.5243858,
