epochs, EmbeddingSimilarity,nll-test,
1,-0.020999149195566173,1.6373411,
6,-0.01523733207355419,1.0919706,
11,-0.013005279124771686,1.0185232,
16,-0.013447116119839427,0.9021452,
21,-0.013066279285653234,0.8530874,
26,-0.013676149841142736,0.84137326,
31,-0.01338354214477896,0.8092598,
36,-0.013742923065758524,0.7907707,
41,-0.013414987640328438,0.8097767,
46,-0.01343498018849412,0.7663492,
51,-0.014093524658463516,0.7656674,
56,-0.013292252249800275,0.7599464,
61,-0.013423358500288102,0.75377166,
66,-0.012724793835902437,0.74653137,
71,-0.012949108272299238,0.74553967,
76,-0.012979025478650626,0.7379186,
80,-0.012681412826002488,0.7399063,
81,-0.01093015685547805,1.0313661,
86,-0.010728531140904413,1.3914896,
91,-0.011524805435021646,1.5114307,
96,-0.012442559636436843,1.517852,
101,-0.013100699421695217,1.4789423,
106,-0.01402693486875244,1.4843062,
111,-0.014307183899410141,1.5291419,
116,-0.014322244006326264,1.5561087,
121,-0.01485762107345885,1.600701,
126,-0.01574449762270812,1.6133752,
131,-0.01652457612189262,1.6445895,
136,-0.01659660058392488,1.6860572,
141,-0.016111081030084216,1.7326322,
146,-0.015550710372071825,1.7960827,
151,-0.015596945790536974,1.829455,
156,-0.015104429561856708,1.8333889,
161,-0.01530188178873517,1.8157955,
166,-0.015553484521538204,1.811363,
171,-0.015726633073726994,1.8412076,
176,-0.01580751174615489,1.867558,
180,-0.01620571763747299,1.9062042,
