epochs, EmbeddingSimilarity,nll-test,
1,-0.017692661623392125,1.6222478,
6,-0.014325866984509661,1.1660432,
11,-0.012715930107919417,1.0262601,
16,-0.012670819047176063,0.95063215,
21,-0.011933490264873356,0.9101979,
26,-0.011774884342724723,0.8824512,
31,-0.011857318926072804,0.8436069,
36,-0.011678017517356783,0.8274186,
41,-0.011836142668914487,0.8146794,
46,-0.01184956529317516,0.8022151,
51,-0.012267372426798475,0.80063033,
56,-0.011977815879605145,0.78348786,
61,-0.011995951726191013,0.7795744,
66,-0.012201881127148147,0.7885861,
71,-0.012217220791679945,0.7615497,
76,-0.011551446128576164,0.7624991,
80,-0.011515913967143654,0.7558778,
81,-0.01000399318152584,0.9877515,
86,-0.010334586430355324,1.2288647,
91,-0.010144708367811476,1.3070627,
96,-0.010276445058338626,1.3591287,
101,-0.010728772806284639,1.3747939,
106,-0.0113963938364048,1.3769147,
111,-0.011335602169913665,1.3821576,
116,-0.011898574898126998,1.4029729,
121,-0.012153389864700083,1.4409311,
126,-0.012472956209180014,1.4868313,
131,-0.012638013603737654,1.4963447,
136,-0.013252851452359559,1.4997665,
141,-0.013144148531242336,1.4843093,
146,-0.013006540814848856,1.5007032,
151,-0.013366135768634832,1.5278268,
156,-0.013006565248080838,1.5768112,
161,-0.01320265245276831,1.594132,
166,-0.013547927694275944,1.580257,
171,-0.013821777439389876,1.5701276,
176,-0.014559331795844602,1.5918278,
180,-0.014888845958740415,1.6006284,
