epochs, EmbeddingSimilarity,nll-test,
1,-0.018806859236181445,1.627941,
6,-0.014786300762431908,1.219432,
11,-0.013617077114165467,1.1096308,
16,-0.013235328803642298,1.0417489,
21,-0.012832868251330941,1.0038376,
26,-0.01313116097474358,0.96493083,
31,-0.012218436964188277,0.95025223,
36,-0.013125588502877612,0.95726347,
41,-0.012496953542122642,0.89882344,
46,-0.012483899379709163,0.8811881,
51,-0.013456070819560143,0.9055144,
56,-0.012986131171495066,0.8685481,
61,-0.013431638128594969,0.86157256,
66,-0.013652534001797941,0.8697231,
71,-0.012444667024243617,0.8535283,
76,-0.01329792747041811,0.84627944,
80,-0.013165375590629773,0.8695669,
81,-0.01181580751128699,1.1238842,
86,-0.01116717690438336,1.3565704,
91,-0.011706855092334845,1.4206574,
96,-0.011967742922869649,1.4623586,
101,-0.01261338260273763,1.5011184,
106,-0.0125573527896048,1.5309702,
111,-0.01269312419222608,1.5357003,
116,-0.012846264012572288,1.5482087,
121,-0.013005215760346514,1.5761724,
126,-0.013060065872893243,1.6046487,
131,-0.013625583848215808,1.6291816,
136,-0.013468833763099236,1.657345,
141,-0.013092116363233056,1.6587104,
146,-0.013618316504661184,1.6726923,
151,-0.013680086785035848,1.6550863,
156,-0.013806180264791745,1.6465936,
161,-0.015024074394230471,1.6615949,
166,-0.01621760189314591,1.7147146,
171,-0.018763584926013845,1.8105569,
176,-0.019373655013949352,1.798132,
180,-0.017387557316300366,1.7670782,
