epochs, EmbeddingSimilarity,nll-test,
1,-0.02182640520922795,1.4697266,
11,-0.015581920490060979,0.989595,
21,-0.014420267418136366,0.8570694,
31,-0.015260962702438917,0.8070914,
41,-0.014427128785641974,0.7821956,
51,-0.014053594144163316,0.76822156,
61,-0.013317859770713772,0.8741391,
71,-0.013439468733953698,0.7990579,
80,-0.013948864754487134,0.75505745,
81,-0.0122616881578391,1.2647871,
91,-0.012630196420503833,1.5858773,
101,-0.013095084162521342,1.6995001,
111,-0.01598291998728124,1.7009741,
121,-0.017085877121459852,1.7528906,
131,-0.016718458879338843,1.8343852,
141,-0.0157093733142272,1.9869119,
151,-0.015793940499817877,2.0326524,
161,-0.01685709479443292,2.058476,
171,-0.016311627309869,2.1589594,
180,-0.01660337662717383,2.1736946,
