epochs, EmbeddingSimilarity,nll-test,
1,-0.01574407244693092,1.5473341,
6,-0.011391455866381395,1.0825855,
11,-0.010166097287342503,0.94458187,
16,-0.009330012374090592,0.87506515,
21,-0.009317090410464874,0.8381191,
26,-0.009861408067165968,0.8181111,
31,-0.00957470646849249,0.798219,
36,-0.009214930421821803,0.7882024,
41,-0.00925659510264309,0.77798015,
46,-0.009021043570958216,0.76548415,
51,-0.009061837624134763,0.757688,
56,-0.009249257566872178,0.7505853,
61,-0.008850047783466264,0.7443075,
66,-0.009037723538990827,0.74058574,
71,-0.00889508708986914,0.7349331,
76,-0.009414281529903661,0.7317076,
80,-0.008992190411036688,0.7303372,
81,-0.009047333093477572,0.7337349,
86,-0.00930137127285206,0.7761669,
91,-0.009546122559886659,0.8117905,
96,-0.009847356836116306,0.8439845,
101,-0.010599237286720674,0.8735475,
106,-0.010581133780513481,0.88083315,
111,-0.010327723909164078,0.8725113,
116,-0.010406125527675671,0.8751252,
121,-0.010299992775740261,0.8794243,
126,-0.010345949121823945,0.8872482,
131,-0.010851083072010556,0.8926861,
136,-0.011093953165067293,0.9021161,
141,-0.011282925294356688,0.9122397,
146,-0.011625953056678058,0.9298587,
151,-0.011653974607077544,0.94564915,
156,-0.011811761699373778,0.9602055,
161,-0.012337495077660115,0.97629136,
166,-0.011955875029907824,0.9794202,
171,-0.011829640452882909,0.96912444,
176,-0.011828250963235299,0.96404463,
180,-0.011640860990461455,0.96802807,
