epochs, EmbeddingSimilarity,nll-test,
1,-0.021036123979190118,1.6089699,
6,-0.017491823963865828,1.105784,
11,-0.01518667362254581,0.9926208,
16,-0.014628355594880273,0.9173678,
21,-0.0157621210501049,0.85056686,
26,-0.01596262743758469,0.8602827,
31,-0.015447385568108611,0.79809237,
36,-0.015507486869386676,0.7843881,
41,-0.01535354627073187,0.7769199,
46,-0.015327295583428166,0.7587396,
51,-0.014823166442086344,0.7632642,
56,-0.014993638353534827,0.74689335,
61,-0.014738538171476204,0.74327743,
66,-0.014791809790962536,0.7337258,
71,-0.014548171091783912,0.740815,
76,-0.014740287328492762,0.7220431,
80,-0.014521257254698917,0.72056377,
81,-0.010641119622345145,0.9699744,
86,-0.010779598517474454,1.2053841,
91,-0.011493784835949214,1.3395554,
96,-0.01154867412047055,1.3757654,
101,-0.011508031597094764,1.3967987,
106,-0.01172229996484559,1.4520795,
111,-0.011422293140550877,1.5056186,
116,-0.01227670579413017,1.5166471,
121,-0.012851305379397595,1.5116645,
126,-0.014077273664344173,1.5286198,
131,-0.015063614165423808,1.5793867,
136,-0.015171101993644099,1.602457,
141,-0.01441479098442343,1.5755588,
146,-0.013573873066934538,1.5755117,
151,-0.013573305814128541,1.6000284,
156,-0.013664926890124047,1.6219678,
161,-0.01371873949626437,1.6293555,
166,-0.014789013477801803,1.6349676,
171,-0.015257480327532089,1.6543063,
176,-0.015291143820107827,1.675615,
180,-0.014921075966554573,1.6841372,
