epochs, EmbeddingSimilarity,nll-test,
1,-0.005379932940228353,2.1333363,
11,-0.0045109363577934426,1.3191363,
21,-0.004185678702070459,1.0646057,
31,-0.004216162387052491,0.9534513,
41,-0.004318076592542719,0.89636356,
51,-0.004332370722829062,0.865171,
61,-0.00438990505911978,0.8552287,
71,-0.004482251308345382,0.86397827,
80,-0.004148138520347594,0.83756775,
81,-0.0035777966457287524,0.9706181,
91,-0.0035397936052984484,1.5153075,
101,-0.003919809569470111,1.5624148,
111,-0.004333181793135914,1.5480639,
121,-0.004698720373702648,1.5445908,
131,-0.0046790616352578186,1.5601481,
141,-0.004845862340072707,1.6003585,
151,-0.004854895322779833,1.6278523,
161,-0.004985182991102002,1.6548477,
171,-0.0050837516892636115,1.6986529,
180,-0.005126210565652325,1.721261,
