epochs, EmbeddingSimilarity,nll-test,
1,-0.013746644240154744,1.7169431,
11,-0.010889388243476105,1.1425792,
21,-0.01020335276096328,1.0634344,
31,-0.01098107634888396,0.98756254,
41,-0.011035764406584625,0.9302972,
51,-0.011429045548234845,0.88242733,
61,-0.01092868518081643,0.8664946,
71,-0.010893154155688884,0.8632153,
80,-0.011035072004147953,0.8871448,
81,-0.009456064642875564,1.1101645,
91,-0.010514491289220421,1.4018681,
101,-0.010854386614916844,1.5102509,
111,-0.010804344571220006,1.5655593,
121,-0.011249919852225525,1.6224506,
131,-0.011387317817962568,1.6842175,
141,-0.012046023729565723,1.7117953,
151,-0.012602940196227133,1.6976812,
161,-0.012853322556390332,1.7098663,
171,-0.013163442716615998,1.7243586,
180,-0.013203728563560788,1.7604892,
