epochs, EmbeddingSimilarity,nll-test,
1,-0.016184501529136967,1.6932565,
11,-0.010930140976946442,1.0325977,
21,-0.011864773820682331,0.94517714,
31,-0.010407799827642221,0.84862167,
41,-0.010672724528335864,0.81875837,
51,-0.01070672688102777,0.7956421,
61,-0.010552955441710957,0.7930733,
71,-0.010532380911091365,0.76628023,
80,-0.011186662335240639,0.77252704,
81,-0.009600209323560026,1.1373587,
91,-0.00944267833054271,1.5605758,
101,-0.01002443476130369,1.6459533,
111,-0.010533302430236265,1.695021,
121,-0.01093709813977649,1.7290423,
131,-0.011762149168145103,1.8034371,
141,-0.01154153238880897,1.785751,
151,-0.013223743987710845,1.8419455,
161,-0.012673433781180674,1.8513684,
171,-0.012254714090884751,1.8782362,
180,-0.012056453698952705,1.9081345,
