epochs, EmbeddingSimilarity,nll-test,
1,-0.023313443885484907,1.537082,
11,-0.026495050285123375,1.0857084,
21,-0.02789132214534278,0.93484205,
31,-0.02757553461122515,1.0085965,
41,-0.02875256166837403,0.86656815,
51,-0.028493155190739465,0.8365129,
61,-0.028172789469255916,0.82491535,
71,-0.029169249874319545,0.8366856,
80,-0.02907395053619365,0.8119598,
81,-0.026906756005594258,1.0473046,
91,-0.03831201356784921,1.3634224,
101,-0.056207924068060605,1.806662,
111,-0.05758311648345785,2.2324371,
121,-0.05692152366953696,2.5968578,
131,-0.054940900904455046,2.947674,
141,-0.05279666581883487,3.3596845,
151,-0.05107441965028296,3.7676778,
161,-0.04916515248617461,3.901895,
171,-0.043965729309975284,3.958817,
180,-0.03090197277098438,4.0724936,
