epochs, EmbeddingSimilarity,nll-test,
1,-0.031353693700998386,1.6339622,
11,-0.037496386124921566,1.081272,
21,-0.03865540766729834,0.9320477,
31,-0.038895523890070845,0.90368336,
41,-0.03905637923824853,0.879893,
51,-0.04062329912535929,0.8607393,
61,-0.03957672098067038,0.83523226,
71,-0.03983917102046427,0.8267067,
80,-0.04064045059300653,0.82862914,
81,-0.03652356062173322,0.9705831,
91,-0.03670908832161565,1.2823702,
101,-0.036976881985865594,1.3781097,
111,-0.0377292937896969,1.4368466,
121,-0.03736864736481861,1.4695605,
131,-0.03853518625616615,1.4897463,
141,-0.03882750295078429,1.5049466,
151,-0.03838394696922453,1.5190735,
161,-0.03837434343880922,1.5303906,
171,-0.03784651541392388,1.5393945,
180,-0.0382922649388753,1.5466486,
