epochs, EmbeddingSimilarity,nll-test,
1,-0.023254508230430276,1.7108561,
11,-0.02907893277983677,1.1229812,
21,-0.028512430808216603,0.9884683,
31,-0.029016048634195424,0.92424595,
41,-0.03022515701335167,0.88889164,
51,-0.029627617424784446,0.8812808,
61,-0.02919415158765374,0.8877714,
71,-0.029762106142586463,0.85501146,
80,-0.029430278456380077,0.8510132,
81,-0.02731366407369821,1.160665,
91,-0.025566814111496985,1.5988437,
101,-0.02361313570869998,1.7786502,
111,-0.0227850662164232,1.8542228,
121,-0.022525838722019128,1.8820883,
131,-0.021816452329416987,1.8896035,
141,-0.02218789529465907,1.8797796,
151,-0.023033744221225214,1.857578,
161,-0.02488455868474517,1.8178104,
171,-0.03017311534883292,1.804581,
180,-0.03406268960678531,1.8685322,
