epochs, EmbeddingSimilarity,nll-test,
1,-0.004763363632767407,2.1623363,
11,-0.0045292596619960195,1.4158536,
21,-0.004450754293694316,1.195299,
31,-0.003785603314407876,1.1036136,
41,-0.00458241673444549,1.0395151,
51,-0.004528700129668856,0.9966106,
61,-0.004505238195589139,0.9206328,
71,-0.004288099312598462,0.89879715,
80,-0.005042528962924491,0.9223844,
81,-0.0039920751268990445,0.9290245,
91,-0.0033946986594130904,1.4963279,
101,-0.0038058278994356413,1.6815845,
111,-0.003922225634553473,1.7419828,
121,-0.0043039993091881865,1.7584131,
131,-0.004450163804054721,1.7890328,
141,-0.00454121910951218,1.7520846,
151,-0.0046553217995172515,1.6314431,
161,-0.004849446632123332,1.6028527,
171,-0.004802499745219957,1.7089014,
180,-0.005079129797793307,1.8426007,
