epochs, EmbeddingSimilarity,nll-test,
1,-0.018277283828850462,1.7108033,
11,-0.01334611549355173,1.1405041,
21,-0.012044346187148272,1.0017114,
31,-0.012303013174399621,0.9255602,
41,-0.012481278570339774,0.88997144,
51,-0.012638999977598212,0.86469585,
61,-0.01185910949499613,0.86435837,
71,-0.012071066199069091,0.8409962,
80,-0.012743084603299079,0.84339875,
81,-0.010747346361195459,1.0809655,
91,-0.011818154952592435,1.5640054,
101,-0.011743277366626675,1.6068034,
111,-0.01103500018281174,1.7266576,
121,-0.01130876035383734,1.7156262,
131,-0.013668212119068551,1.6783353,
141,-0.01412505129250929,1.7225708,
151,-0.014627710071615724,1.8002847,
161,-0.014633435418255063,1.8429217,
171,-0.014640854153460942,1.9210604,
180,-0.01404751022331331,1.9249097,
